id;parent child;Основные разделы;
1;0;Экспертные советы
2;1;По агропромышленной политике и природопользованию
3;1;По внутренней политике
4;1;По инвестиционной политике и имущественным отношениям
5;1;По научно-образовательному комплексу и инновационной политике
6;1;По промышленной политике
7;1;По социальной политике
8;1;По строительству и инфраструктуре
9;1;По территориальному развитию и взаимодействию с органами местного самоуправления
10;1;По экономике
11;0;Общая информация
12;11;Общая информация
13;11;Выступление Губернатора
14;11;Порядок формирования экспертных советов
15;11;Участие экспертов в управлении регионом
16;11;Нормативные правовые акты;documents/front/index
17;0;Протоколы заседаний, заключения;experts/front/protocols
18;0;Архив материалов;experts/front/archive
19;0;Пресс-центр
20;19;Новости;news/front/index
21;19;Календарь заседаний;afisha/front/index
22;19;Публикации СМИ;smi/front/index
23;19;Видеоматериалы;video/front/view
24;19;Фотоматериалы;photoGallery/front/index
